"","TP","trait","year","cor"
"1","TP1","GE","2021",0.496080627627878
"2","TP1","GE","2021",0.501132691357814
"3","TP1","GE","2021",0.533601562588316
"4","TP1","GE","2021",0.521804959021512
"5","TP1","GE","2021",0.487067871323817
"6","TP1","GE","2021",0.42842094854735
"7","TP1","GE","2021",0.366469835974934
"8","TP1","GE","2021",0.552735250173611
"9","TP1","GE","2021",0.552735250173611
"10","TP1","GE","2021",0.591695934603152
"11","TP1","GE","2021",0.594933042996335
"12","TP1","GE","2021",0.551095943765437
"13","TP1","GE","2021",0.554554480179446
"14","TP1","GE","2021",0.521101326472131
"15","TP1","GE","2021",0.567647510067227
"16","TP1","GE","2021",0.445381074095054
"17","TP1","GE","2021",0.528169247160078
"18","TP1","GI","2021",0.479212010401389
"19","TP1","GI","2021",0.486998114438371
"20","TP1","GI","2021",0.49929096931226
"21","TP1","GI","2021",0.49064763384835
"22","TP1","GI","2021",0.44059789708495
"23","TP1","GI","2021",0.386480863378259
"24","TP1","GI","2021",0.328399801433228
"25","TP1","GI","2021",0.575123426606112
"26","TP1","GI","2021",0.575123426606112
"27","TP1","GI","2021",0.609941800784609
"28","TP1","GI","2021",0.608774201766564
"29","TP1","GI","2021",0.526365054648207
"30","TP1","GI","2021",0.529737960554159
"31","TP1","GI","2021",0.505401099817108
"32","TP1","GI","2021",0.545245495473711
"33","TP1","GI","2021",0.447320192088388
"34","TP1","GI","2021",0.561212810059737
"35","TP1.5","GE","2021",0.581315752445982
"36","TP1.5","GE","2021",0.576587255249257
"37","TP1.5","GE","2021",0.553479515918953
"38","TP1.5","GE","2021",0.552872044608511
"39","TP1.5","GE","2021",0.565963128373174
"40","TP1.5","GE","2021",0.574614108203836
"41","TP1.5","GE","2021",0.57248590880953
"42","TP1.5","GE","2021",0.528465930592552
"43","TP1.5","GE","2021",0.528465930592552
"44","TP1.5","GE","2021",0.552594144447976
"45","TP1.5","GE","2021",0.526959689966619
"46","TP1.5","GE","2021",0.474676769239486
"47","TP1.5","GE","2021",0.50019079220704
"48","TP1.5","GE","2021",0.527540543294208
"49","TP1.5","GE","2021",0.50189278130531
"50","TP1.5","GE","2021",0.448451873861301
"51","TP1.5","GE","2021",0.402909128361309
"52","TP1.5","GI","2021",0.573519659864293
"53","TP1.5","GI","2021",0.570133066890208
"54","TP1.5","GI","2021",0.524729989507732
"55","TP1.5","GI","2021",0.525705558514205
"56","TP1.5","GI","2021",0.545290346807711
"57","TP1.5","GI","2021",0.550098291465668
"58","TP1.5","GI","2021",0.53792807162139
"59","TP1.5","GI","2021",0.531051681972782
"60","TP1.5","GI","2021",0.531051681972782
"61","TP1.5","GI","2021",0.560789083784839
"62","TP1.5","GI","2021",0.502766870560172
"63","TP1.5","GI","2021",0.481054279362844
"64","TP1.5","GI","2021",0.500989373992084
"65","TP1.5","GI","2021",0.508791293457759
"66","TP1.5","GI","2021",0.500168307816131
"67","TP1.5","GI","2021",0.438401314640777
"68","TP1.5","GI","2021",0.422221494928503
"69","TP2","GE","2021",0.571032511217971
"70","TP2","GE","2021",0.580852703103544
"71","TP2","GE","2021",0.58351339345291
"72","TP2","GE","2021",0.582220438189865
"73","TP2","GE","2021",0.606725926374031
"74","TP2","GE","2021",0.601721610619204
"75","TP2","GE","2021",0.613334119153796
"76","TP2","GE","2021",0.472228778881443
"77","TP2","GE","2021",0.472228778881443
"78","TP2","GE","2021",0.491766468748242
"79","TP2","GE","2021",0.561967273177614
"80","TP2","GE","2021",0.472769922683442
"81","TP2","GE","2021",0.491387654812318
"82","TP2","GE","2021",0.589218308242977
"83","TP2","GE","2021",0.587698584590238
"84","TP2","GE","2021",0.48989452311583
"85","TP2","GE","2021",0.448196668836158
"86","TP2","GI","2021",0.577482787230097
"87","TP2","GI","2021",0.584839471224119
"88","TP2","GI","2021",0.557872423230567
"89","TP2","GI","2021",0.557923975461192
"90","TP2","GI","2021",0.582634675656838
"91","TP2","GI","2021",0.58537026784284
"92","TP2","GI","2021",0.59123287715439
"93","TP2","GI","2021",0.494033308843452
"94","TP2","GI","2021",0.494033308843452
"95","TP2","GI","2021",0.506874757468812
"96","TP2","GI","2021",0.547706993813699
"97","TP2","GI","2021",0.473149768888386
"98","TP2","GI","2021",0.490873645954105
"99","TP2","GI","2021",0.57425163574424
"100","TP2","GI","2021",0.568011269249986
"101","TP2","GI","2021",0.498156027275745
"102","TP2","GI","2021",0.451372711627135
"103","TP2.5","GE","2021",0.519070231333062
"104","TP2.5","GE","2021",0.533662735095712
"105","TP2.5","GE","2021",0.544324441187663
"106","TP2.5","GE","2021",0.550523486108609
"107","TP2.5","GE","2021",0.596063918607303
"108","TP2.5","GE","2021",0.592108253512752
"109","TP2.5","GE","2021",0.584620086879742
"110","TP2.5","GE","2021",0.452043138101343
"111","TP2.5","GE","2021",0.452043138101343
"112","TP2.5","GE","2021",0.472931961268584
"113","TP2.5","GE","2021",0.545927076777138
"114","TP2.5","GE","2021",0.489208220601826
"115","TP2.5","GE","2021",0.494446042032509
"116","TP2.5","GE","2021",0.638301489867796
"117","TP2.5","GE","2021",0.612817854397298
"118","TP2.5","GE","2021",0.47261652876013
"119","TP2.5","GE","2021",0.467261967184688
"120","TP2.5","GI","2021",0.563577070561698
"121","TP2.5","GI","2021",0.573321408411566
"122","TP2.5","GI","2021",0.565515854440686
"123","TP2.5","GI","2021",0.562567930338171
